TOT CHKOUT,TITLE,AUTHOR,PUBLISHER,CREATED(ITEM),AGE,BIPOC,LGBTQ+,DISABILITY,NEURODIVERSITY
29,"Yes, I'm hot in this : the hilarious truth about life in a hijab / Huda Fahmy.","Fahmy, Huda, author, illustrator.","New York : Adams Media Corporation, 2018.",2019,YA,yes,no,no,no
86,Dog Man. Brawl of the wild / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins   with color by Jose Garibaldi.,"Pilkey, Dav, 1966-, author, artist.","New York : Graphix, an imprint of Scholastic, 2019.",2019,J,no,no,no,no
97,Witch boy. [2] The hidden witch / Molly Knox Ostertag.,"Ostertag, Molly Knox, author, illustrator.","New York, NY : Graphix, an imprint of Scholastic, 2018.",2019,J,yes,yes,no,no
20,"Miss Kobayashi's dragon maid. 1. / story & art by coolkyousinnjya   translation, Jenny McKeon   adaptation, Shanti Whitesides.","Coolkyousinnjya (Manga author) author, artist.","[Los Angeles, California] : Seven Seas Entertainment, [2016]",2019,YA,no,yes,no,no
131,"The baby-sitters club. 5, Dawn and the impossible three / a graphic novel by Gale Galligan with color by Braden Lamb.","Galligan, Gale, author, artist.","New York : Graphix, an imprint of Scholastic, 2017.",2019,J,no,no,no,no
28,"The handmaid's tale / Margaret Atwood   art & adaptation, Renee Nault.","Atwood, Margaret, 1939-, author.","New York : Nan A. Talese / Doubleday, [2019]",2019,YA,no,no,no,no
21,"The Umbrella Academy. Vol. 1, Apocalypse suite / story, Gerard Way   art, Gabriel Ba   colors, Dave Stewart   [with an introduction by Grant Morrison and an afterword by Scott Allie].","Way, Gerard, author.","Milwaukie, OR : Dark Horse, c2008.",2019,YA,no,yes,no,no
159,"Wings of fire : the graphic novel. Book two, The lost heir / by Tui T. Sutherland adapted by Barry Deutsch art by Mike Holmes color by Maarta Laiho.","Deutsch, Barry adapter.","New York : Graphix, an imprint of Scholastic, 2019.",2019,J,no,no,no,no
67,"Cleopatra in space. Book five, Fallen empires / Mike Maihack.","Maihack, Mike, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2019.",2019,J,yes,no,yes,yes
68,Crush / Svetlana Chmakova.,"Chmakova, Svetlana, 1979-, author, artist.","New York : JY, 2018.",2019,J,yes,no,no,no
24,"Frankenstein : Junji Ito story collection / story & art by Junji Ito   translation, Jocelyn Allen   English adaptation, Nick Mamatas   other stories translation & adaptation, Jocelyn Allen   touch-up art & lettering, James Dashiell   cover & graphic design, Adam Grano.","ItÅ, Junji, 1963- author, illustrator.","San Francisco, CA : VIZ Media, [2018];""Â©2013""",2019,YA,no,no,no,no
21,"RWBY / manga by Shirow Miwa   translation, Joe Yamazaki   English adaptation, Jeremy Haun & Jason A. Hurley   touch-up art and lettering, Evan Waldinger & Walden Wong.","Miwa, ShirÅ, 1978- author.","San Francisco, CA : VIZ Media, LLC, [2018]",2019,YA,no,no,no,no
111,Big Nate : hug it out! / by Lincoln Peirce.,"Peirce, Lincoln, author, artist.","Kansas City, Missouri : Andrews McMeel Publishing, [2019];""Â©2019""",2019,J,no,no,no,no
95,Dog Man. Unleashed / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins with interior color by Jose Garibaldi..,"Pilkey, Dav, 1966-, author, illustrator.","New York : Graphix, an imprint of Scholastic, 2021.;""Â©2017""",2019,J,no,no,no,no
90,"The baby-sitter's club. 6, Kristy's big day / graphic novel by Gale Galligan with color by Braden Lamb.","Galligan, Gale, author.","New York : Graphix, an imprint of Scholastic, 2018.",2019,J,no,no,no,no
75,Catwad. It's me / Jim Benton.,"Benton, Jim, author, illustrator.","New York, NY : Graphix, an imprint of Scholastic, 2019.",2019,J,no,no,no,no
30,"Tokyo ghoul: re. 1 / story and art by Sui Ishida   translation, Joe Yamakazi   touch-up art & lettering, Vanessa Satone.","Ishida, Sui, author, artist.","San Francisco, CA : VIZ Media, LLC, [2017]",2019,YA,no,no,no,no
27,"Tokyo ghoul: re. 2 / story and art by Sui Ishida   translation, Joe Yamazaki   touch-up art & lettering, Vanessa Satone   design, Shawn Carrico   editor, Pancha Diaz.","Ishida, Sui, author, artist.","San Francisco, CA : VIZ Media, LLC, [2017];""Â©2014""",2019,YA,yes,no,no,no
23,"The ancient magus' bride. [Volume 1] / [story and art by Kore Yamazaki   translation, Adrienne Beck   adaptation, Ysabet Reinhardt MacFarlane   lettering and layout, Lys Blakeslee].","Yamazaki, Kore, artist, author.","[Los Angeles, CA] : Seven Seas Entertainment, LLC, [2015]",2019,YA,no,no,no,no
