TOT CHKOUT,TITLE,AUTHOR,PUBLISHER,CREATED(ITEM),AGE
29,Sparks! / written by Ian boothby   art by Nina Matsumoto   with color by David Dedrick.,"Boothby, Ian, author.","New York, NY : Graphix, an imprint of Scholastic, 2018.",2019,J
27,Be prepared / Vera Brosgol   color by Alec Longstreth.,"Brosgol, Vera, author, illustrator.","New York : First Second, 2018.",2019,J
23,Sheets. [1] / Brenna Thummler.,"Thummler, Brenna, author, artist.","[St. Louis, Missouri] : The Lion Forge, LLC, 2018.",2019,J
15,"Rutabaga the adventure chef. 2, Feasts of fury / Eric Colossal.","Colossal, Eric, author, illustrator.","New York : Amulet Books, 2016.",2019,J
10,"Old Man Logan. 8, To kill for / writer, Ed Brisson artist, Dalibor TalajiÄ‡ (#36-38), Ibraim Roberson (#39-40) color artist, Carlos Lopez letterer, VC's Cory Petit cover art, Mike Deodato Jr. & Carlos Lopez.","Brisson, Ed, author.","New York, NY : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, [2018]",2019,YA
9,"Spider-Man/Deadpool. 7, My two dads / Robbie Thompson, writer Scott Hepburn (#34 & 37-39), Flaviano (#34), Matt Horak (#35-36 & 40), artists Ian Herring (#34), Brian Reber (#35-36, 40), colorists Jim Towe (#37-39), penciler Sean Parsons (#37-39), Cam Smith (#37-#38), Livesay (#38), Craig Yeung (#38), Jim Towe (#39), & Keith Champagne (#39), inkers Brian Reber (#37-38), Andrew Crossley (#39), & Jim Campbell (#38), color artists Dave Johnson, cover art VC's Joe Sabino, letterer.","Thompson, Robbie, author.","New York, NY : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, [2018]",2019,YA
8,"Jim Henson's : The power of the dark crystal. Vol. 1 / Simon Spurrier illustrated by Kelly Matthews, Nichole Matthews lettered by Jim Campbell cover by Jae Lee and June Chung chapter break art by Sana Takeda.","Spurrier, Simon, author.","Los Angeles : Archaia, 2019.",2019,YA
8,"The Vampire Diaries. Volume 1 / Colleen Doran [and 10 others], writers Tony Shasteen [and 10 others], artists JD Mettler [and 5 others], colorists Saida Temodonte, Deron Bennett, letterers.",,"New York : DC Comics, [2014]",2019,YA
6,"Gotham Academy : Second semester. Volume 1, Welcome back / written by Brenden Fletcher, Becky Cloonan, Karl Kerschl pencils by Adam Archer inks by Sandra Hope background painting by Msassyk breakdowns by Rob Haynes color by Msassyk, Serge Lapointe, Chris Sotomayor letters by Steve Wands collection cover art by Karl Kerschl.","Fletcher, Brenden, author.","Burbank, CA : DC Comics, [2017]",2019,YA
6,"Hal Jordan and the Green Lantern Corps. Vol. 7, Darkstars rising / Robert Venditti, writer Rafa Sandoval, Fernando Pasarin, Ethan Van Sciver [and 3 others], pencillers Jordi Tarragona, Ethan Van Sciver, Oclair Albert [and 3 others], inkers Tomeu Morey, Jason Wright [and 2 others], colorists Dave Sharpe, letterer Tyler Kirkham and Arif Prianto, collection cover artists.","Venditti, Robert, writer.","Burbank, CA : DC Comics, [2018]",2019,YA
